<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
Artius II Acquisition Inc Cl A,AACB,20250902,10.13,10.13,10.13,10.13,15000
Artius II Acquisition Inc Rights,AACBR,20250902,0.22,0.22,0.22,0.22,200
Artius II Acquisition Inc Units,AACBU,20250902,10.4,10.45,10.4,10.44,400
Ata Creativity Global ADR,AACG,20250902,2.01,2.22,2.01,2.09,48600
Armada Acquisition Corp. II Cl A,AACI,20250902,10.265,10.275,10.23,10.25,306700
Armada Acquisition Corp. II WT,AACIW,20250902,0.6021,0.63,0.6021,0.63,9100
Advisorshares Dorsey Wright ETF,AADR,20250902,81.7451,82.1283,81.5,81.9754,1900
American Airlines Gp,AAL,20250902,13.26,13.52,12.94,13.39,93824900
,AALG,20250902,14.86,15.31,14.05,15.1172,4500
Atlantic Amer Corp,AAME,20250902,3.43,3.44,3.1133,3.32,110300
Applied Optoelect,AAOI,20250902,22.83,23.64,22.2,23.35,4528500
Aaon Inc,AAON,20250902,80.81,81.86,79.78,81.69,582100
Graniteshares 2X Long Aapl Daily ETF,AAPB,20250902,24.65,24.97,24.14,24.73,284300
Aapl Bear -1X ETF Direxion,AAPD,20250902,15.72,15.86,15.62,15.69,806100
Ascentage Pharma Group Intl ADR,AAPG,20250902,41.95,42.47,41.36,41.82,14000
Apple Inc,AAPL,20250902,229.25,230.85,226.97,229.72,43980500
Aapl Bull 2X ETF Direxion,AAPU,20250902,26.8,27.13,26.23,26.86,2827800
Aardvark Therapeutics Inc,AARD,20250902,8.45,9,8.305,8.86,247100
,AAUS,20250902,51.5969,51.5969,51.5969,51.5969,200
Alpha Architect Global Factor Equity ETF,AAVM,20250902,27.41,27.68,27.41,27.68,2600
All Country Asia Ex Japan Ishares MSCI ETF,AAXJ,20250902,85.4,85.905,85.19,85.85,830500
American Battery Technology Co.,ABAT,20250902,2.42,2.44,2.32,2.41,2688100
Abcellera Biologics Inc,ABCL,20250902,4.11,4.3,4.03,4.05,3628000
Alpha Blue Capital US Small-Mid Cap Dynamic ETF,ABCS,20250902,30.27,30.39,30.26,30.373,2400
Abeona Therapeutics,ABEO,20250902,6.84,7.05,6.79,6.85,526900
,ABI,20250902,25.275,25.275,25.275,25.275,100
Argent Large Cap ETF,ABIG,20250902,30.64,30.7291,30.64,30.7291,5600
Abacus Global Management Inc,ABL,20250902,6.84,7.18,6.8,7.01,546000
Abacus Life Inc 9.875%,ABLLL,20250902,25,25.065,25,25,6400
Able View Global Inc Cl B,ABLV,20250902,0.8988,0.8988,0.8988,0.8988,400
Airbnb Inc Cl A,ABNB,20250902,128.42,129.23,126.46,127.59,4195300
Acumen Pharmaceuticals Inc,ABOS,20250902,1.35,1.3895,1.34,1.36,116300
Abpro Holdings Inc,ABP,20250902,0.24,0.255,0.24,0.2521,2991200
Absci Corp,ABSI,20250902,2.35,2.47,2.32,2.34,2985900
Abits Group Inc,ABTS,20250902,3.5,3.88,3.4,3.6,8100
Arbutus Biopharma Corp,ABUS,20250902,3.69,4.09,3.66,3.82,2648800
Abvc Biopharma Inc,ABVC,20250902,2.83,2.84,2.64,2.73,125900
Above Food Ingredients Inc,ABVE,20250902,1.95,1.96,1.87,1.93,1124400
Above Food Ingredients Inc WT,ABVEW,20250902,0.1875,0.276,0.1875,0.2407,144200
